#{"t_start": 1774194196.1778681, "env_id": null}
r,l,t
2386.92,357,916.155919
1731.4,283,917.815012
2743.96,400,920.128033
3134.9,447,922.645339
2597.28,385,925.128257
2570.28,386,927.367618
2580.5,385,929.634436
2757.480338,404,931.982151
2523.21,384,934.204713
2515.3,382,937.096877
2389.62,362,939.856138
2651.8,390,942.128933
2038.6,319,944.3609
2213.98,350,946.447463
2965.54,443,948.945591
2636.25,400,950.716878
2230.331,350,952.209403
2685.3,400,953.992275
2317.212,353,955.723265
2660.228,400,957.609442
3017.43,430,959.506053
3068.336722,450,961.492099
2311.28,350,963.051318
2433.5,366,964.704027
1994.646112,317,966.036293
1674.0,286,967.251569
1957.59986,312,968.642707
2731.2,400,970.4136
2693.4,400,972.108117
2968.35,429,973.992282
2428.92,368,975.654309
2279.9,350,977.258571
2627.3,390,979.046477
2240.002,350,980.666141
2661.5,400,982.486264
2216.9,348,983.99862
2597.6,392,985.698194
2389.6,357,987.218859
2234.4,348,988.636207
2619.6,389,990.328951
2065.0494,320,991.687736
2393.1508,358,993.225474
2304.5,350,994.729566
2556.24,381,996.361094
2638.48,395,998.153921
2628.2,388,999.820246
2720.82,400,1001.541245
2574.7814,379,1003.104448
2326.3,350,1004.649241
2924.67,422,1006.539901
2439.62,368,1008.148098
2339.6,350,1009.686002
2677.8,396,1011.372573
3065.24,434,1013.261281
2682.6,398,1015.044458
2116.8,326,1016.423498
2728.7,400,1018.153531
2736.0,400,1019.844916
3160.9,445,1021.920254
2683.46,399,1023.743354
2752.0,400,1025.481155
1919.4,304,1026.801993
2040.49,323,1028.298352
2407.8,358,1030.168404
3060.8,439,1032.038001
2448.0,367,1033.603382
1836.74,294,1035.272697
2674.31,394,1036.928315
2219.944072,344,1038.401727
2058.0,319,1039.802121
2317.5,350,1041.431386
2615.676,390,1043.303665
3179.28,450,1045.523686
2318.2,350,1047.094799
2760.6,400,1048.843377
2323.62,350,1050.36718
2677.0,400,1052.119184
2036.8,318,1053.544159
2689.8,396,1055.391979
2729.62,400,1057.387825
2487.0,365,1059.03132
2348.74,350,1060.518646
3178.5,450,1062.393442
3163.0532,450,1064.32036
2842.661,415,1066.329539
2696.4847,400,1068.097425
2567.8,378,1069.823996
3116.0,445,1071.734416
2369.9,352,1073.248953
2929.7,423,1075.187395
2214.09,335,1076.680996
2725.4,400,1078.406284
2771.9,400,1080.215177
2714.1464,400,1081.991961
3232.59,454,1084.047364
2729.4,400,1085.841014
2480.4,369,1087.470057
2765.0,407,1089.258727
